Name,Year,Movie
Jonathan,1984,Indiana Jones and the Temple of Doom
Amrish,1984,Indiana Jones and the Temple of Doom
Indiana,1984,Indiana Jones and the Temple of Doom
Jones,1984,Indiana Jones and the Temple of Doom
Michael,1985,Back to the Future
Christopher,1985,Back to the Future
Lea,1985,Back to the Future
Crispin,1985,Back to the Future
Marty,1985,Back to the Future
Emmett,1985,Back to the Future
Tom,1986,Top Gun
Kelly,1986,Top Gun
Val,1986,Top Gun
Anthony,1986,Top Gun
Nick,1986,Top Gun
Tom,1986,Top Gun
Charlotte,1986,Top Gun
Pete,1986,Top Gun
Michael,1987,Fatal Attraction
Glenn,1987,Fatal Attraction
Anne,1987,Fatal Attraction
Ellen,1987,Fatal Attraction
Dustin,1988,Rain Man
Tom,1988,Rain Man
Valeria,1988,Rain Man
Gerald,1988,Rain Man
Harrison,1989,Indiana Jones and the Last Crusade
Sean,1989,Indiana Jones and the Last Crusade
Denholm,1989,Indiana Jones and the Last Crusade
Alison,1989,Indiana Jones and the Last Crusade
Indiana,1989,Indiana Jones and the Last Crusade
Jones,1989,Indiana Jones and the Last Crusade
Patrick,1990,Ghost
Demi,1990,Ghost
Tony,1990,Ghost
Stanley,1990,Ghost
Arnold,1991,Terminator 2: Judgment Day
Linda,1991,Terminator 2: Judgment Day
Edward,1991,Terminator 2: Judgment Day
Robert,1991,Terminator 2: Judgment Day
Sarah,1991,Terminator 2: Judgment Day
John,1991,Terminator 2: Judgment Day
Connor,1991,Terminator 2: Judgment Day
Scott,1992,Aladdin
Robin,1992,Aladdin
Linda,1992,Aladdin
Jonathan,1992,Aladdin
Aladdin,1992,Aladdin
Jasmin,1992,Aladdin
Sam,1993,Jurassic Park
Laura,1993,Jurassic Park
Jeff,1993,Jurassic Park
Richard,1993,Jurassic Park
Alan,1993,Jurassic Park
Ellie,1993,Jurassic Park
Ian,1993,Jurassic Park
Rowan,1994,The Lion King
Matthew,1994,The Lion King
Niketa,1994,The Lion King
Jim,1994,The Lion King
Simba,1994,The Lion King
Nala,1994,The Lion King
Tom,1995,Toy Story
Tim,1995,Toy Story
Don,1995,Toy Story
Jim,1995,Toy Story
Woody,1995,Toy Story
Andy,1995,Toy Story
Sid,1995,Toy Story
Buzz,1995,Toy Story
Bruce,1995,Die Hard with a Vengeance
Jeremy,1995,Die Hard with a Vengeance
Samuel,1995,Die Hard with a Vengeance
Graham,1995,Die Hard with a Vengeance
Hans,1995,Die Hard with a Vengeance
John,1995,Die Hard with a Vengeance
Simon,1995,Die Hard with a Vengeance
Katya,1995,Die Hard with a Vengeance
Zeus,1995,Die Hard with a Vengeance
Charles,1995,Die Hard with a Vengeance
Will,1996,Independence Day
Bill,1996,Independence Day
Jeff,1996,Independence Day
Mary,1996,Independence Day
Leonardo,1997,Titanic
Kate,1997,Titanic
Billy,1997,Titanic
Kathy,1997,Titanic
Rose,1997,Titanic
Jack,1997,Titanic
Bruce,1998,Armageddon
Billy,1998,Armageddon
Ben,1998,Armageddon
Liv,1998,Armageddon
Liam,1999,Star Wars: Episode I The Phantom Menace
Ewan,1999,Star Wars: Episode I The Phantom Menace
Natalie,1999,Star Wars: Episode I The Phantom Menace
Jake,1999,Star Wars: Episode I The Phantom Menace
Luke,1999,Star Wars: Episode I The Phantom Menace
Leia,1999,Star Wars: Episode I The Phantom Menace
Han,1999,Star Wars: Episode I The Phantom Menace
Anakin,1999,Star Wars: Episode I The Phantom Menace
Ben,1999,Star Wars: Episode I The Phantom Menace
Harry,2001,Harry Potter and the Philosopher's Stone
Ron,2001,Harry Potter and the Philosopher's Stone
Hermione,2001,Harry Potter and the Philosopher's Stone
Fred,2001,Harry Potter and the Philosopher's Stone
George,2001,Harry Potter and the Philosopher's Stone
Ginny,2001,Harry Potter and the Philosopher's Stone
Albus,2001,Harry Potter and the Philosopher's Stone
Luna,2001,Harry Potter and the Philosopher's Stone
Sirius,2001,Harry Potter and the Philosopher's Stone
Bruce,2002,The Lord of the Rings: The Two Towers
Sean,2002,The Lord of the Rings: The Two Towers
John,2002,The Lord of the Rings: The Two Towers
Sala,2002,The Lord of the Rings: The Two Towers
Frodo,2002,The Lord of the Rings: The Two Towers
Samwise,2002,The Lord of the Rings: The Two Towers
Aragorn,2002,The Lord of the Rings: The Two Towers
Legolas,2002,The Lord of the Rings: The Two Towers
Arwen,2002,The Lord of the Rings: The Two Towers
Sauron,2002,The Lord of the Rings: The Two Towers
Elrond,2002,The Lord of the Rings: The Two Towers
Bilbo,2002,The Lord of the Rings: The Two Towers
Gandolf,2002,The Lord of the Rings: The Two Towers
Saruman,2002,The Lord of the Rings: The Two Towers
Noel,2003,The Lord of the Rings: The Return of the King
Ali,2003,The Lord of the Rings: The Return of the King
Sean,2003,The Lord of the Rings: The Return of the King
David,2003,The Lord of the Rings: The Return of the King
Frodo,2003,The Lord of the Rings: The Return of the King
Samwise,2003,The Lord of the Rings: The Return of the King
Aragorn,2003,The Lord of the Rings: The Return of the King
Legolas,2003,The Lord of the Rings: The Return of the King
Arwen,2003,The Lord of the Rings: The Return of the King
Sauron,2003,The Lord of the Rings: The Return of the King
Elrond,2003,The Lord of the Rings: The Return of the King
Bilbo,2003,The Lord of the Rings: The Return of the King
Gandolf,2003,The Lord of the Rings: The Return of the King
Saruman,2003,The Lord of the Rings: The Return of the King
Mike,2004,Shrek 2
Eddie,2004,Shrek 2
Cameron,2004,Shrek 2
Julie,2004,Shrek 2
Shrek,2004,Shrek 2
Fiona,2004,Shrek 2
Eric,2005,Harry Potter and the Goblet of Fire
Timothy,2005,Harry Potter and the Goblet of Fire
David,2005,Harry Potter and the Goblet of Fire
Daniel,2005,Harry Potter and the Goblet of Fire
Harry,2005,Harry Potter and the Goblet of Fire
Ron,2005,Harry Potter and the Goblet of Fire
Hermione,2005,Harry Potter and the Goblet of Fire
Fred,2005,Harry Potter and the Goblet of Fire
George,2005,Harry Potter and the Goblet of Fire
Ginny,2005,Harry Potter and the Goblet of Fire
Albus,2005,Harry Potter and the Goblet of Fire
Luna,2005,Harry Potter and the Goblet of Fire
Sirius,2005,Harry Potter and the Goblet of Fire
Johnny,2006,Pirates of the Caribbean: Dead Man's Chest
Orlando,2006,Pirates of the Caribbean: Dead Man's Chest
Keira,2006,Pirates of the Caribbean: Dead Man's Chest
Jack,2006,Pirates of the Caribbean: Dead Man's Chest
Jack,2006,Pirates of the Caribbean: Dead Man's Chest
Hector,2006,Pirates of the Caribbean: Dead Man's Chest
Elizabeth,2006,Pirates of the Caribbean: Dead Man's Chest
Will,2006,Pirates of the Caribbean: Dead Man's Chest
Johnny,2007,Pirates of the Caribbean: At World's End
Geoffrey,2007,Pirates of the Caribbean: At World's End
Orlando,2007,Pirates of the Caribbean: At World's End
Keira,2007,Pirates of the Caribbean: At World's End
Jack,2007,Pirates of the Caribbean: At World's End
Hector,2007,Pirates of the Caribbean: At World's End
Elizabeth,2007,Pirates of the Caribbean: At World's End
Will,2007,Pirates of the Caribbean: At World's End
Christian,2008,The Dark Knight
Heath,2008,The Dark Knight
Aaron,2008,The Dark Knight
Michael,2008,The Dark Knight
Bruce,2008,The Dark Knight
Alfred,2008,The Dark Knight
Sam,2009,Avatar
Zoe,2009,Avatar
Sigourney,2009,Avatar
Stephen,2009,Avatar
Jake,2009,Avatar
Parker,2009,Avatar
Trudy,2009,Avatar
Tom,2010,Toy Story 3
Tim,2010,Toy Story 3
Joan,2010,Toy Story 3
Ned,2010,Toy Story 3
Woody,2010,Toy Story 3
Andy,2010,Toy Story 3
Sid,2010,Toy Story 3
Buzz,2010,Toy Story 3
Ralph,2011,Harry Potter and the Deathly Hallows Part 2
Michael,2011,Harry Potter and the Deathly Hallows Part 2
Alan,2011,Harry Potter and the Deathly Hallows Part 2
Daniel,2011,Harry Potter and the Deathly Hallows Part 2
Harry,2011,Harry Potter and the Deathly Hallows Part 2
Ron,2011,Harry Potter and the Deathly Hallows Part 2
Hermione,2011,Harry Potter and the Deathly Hallows Part 2
Fred,2011,Harry Potter and the Deathly Hallows Part 2
George,2011,Harry Potter and the Deathly Hallows Part 2
Ginny,2011,Harry Potter and the Deathly Hallows Part 2
Albus,2011,Harry Potter and the Deathly Hallows Part 2
Luna,2011,Harry Potter and the Deathly Hallows Part 2
Sirius,2011,Harry Potter and the Deathly Hallows Part 2
Robert,2012,The Avengers
Chris,2012,The Avengers
Mark,2012,The Avengers
Chris,2012,The Avengers
Tony,2012,The Avengers
Steve,2012,The Avengers
Bruce,2012,The Avengers
Thor,2012,The Avengers
Clint,2012,The Avengers
Nick,2012,The Avengers
Pepper,2012,The Avengers
Maria,2012,The Avengers
Natalia,2012,The Avengers
Natasha,2012,The Avengers
Erik,2012,The Avengers
Kristen,2013,Frozen
Idina,2013,Frozen
Jonathan,2013,Frozen
Josh,2013,Frozen
Elsa,2013,Frozen
Anna,2013,Frozen
Olaf,2013,Frozen
Sven,2013,Frozen
Kristoff,2013,Frozen
Hans,2013,Frozen
Mark,2014,Transformers: Age of Extinction
Stanley,2014,Transformers: Age of Extinction
Kelsey,2014,Transformers: Age of Extinction
Nicola,2014,Transformers: Age of Extinction
Tessa,2014,Transformers: Age of Extinction
Cade,2014,Transformers: Age of Extinction
Harold,2014,Transformers: Age of Extinction
Su,2014,Transformers: Age of Extinction
Lucas,2014,Transformers: Age of Extinction
J.J.,2015,Star Wars: The Force Awakens
John,2015,Star Wars: The Force Awakens
Anthony,2015,Star Wars: The Force Awakens
Gwendoline,2015,Star Wars: The Force Awakens
Rey,2015,Star Wars: The Force Awakens
Kylo,2015,Star Wars: The Force Awakens
Luke,2015,Star Wars: The Force Awakens
Han,2015,Star Wars: The Force Awakens
Leia,2015,Star Wars: The Force Awakens
Finn,2015,Star Wars: The Force Awakens
Poe,2015,Star Wars: The Force Awakens
Chris,2016,Captain America: Civil War
Robert,2016,Captain America: Civil War
Scarlett,2016,Captain America: Civil War
Sebastian,2016,Captain America: Civil War
Steve,2016,Captain America: Civil War
Peter,2016,Captain America: Civil War
Tony,2016,Captain America: Civil War
Bucky,2016,Captain America: Civil War
"""TChalla""",2016,Captain America: Civil War
Natasha,2016,Captain America: Civil War
Wanda,2016,Captain America: Civil War
Clint,2016,Captain America: Civil War
Scott,2016,Captain America: Civil War
Mark,2017,Star Wars: The Last Jedi
Carrie,2017,Star Wars: The Last Jedi
Adam,2017,Star Wars: The Last Jedi
Daisy,2017,Star Wars: The Last Jedi
Rey,2017,Star Wars: The Last Jedi
Kylo,2017,Star Wars: The Last Jedi
Luke,2017,Star Wars: The Last Jedi
Han,2017,Star Wars: The Last Jedi
Leia,2017,Star Wars: The Last Jedi
Finn,2017,Star Wars: The Last Jedi
Poe,2017,Star Wars: The Last Jedi
Robert,2018,Avengers: Infinity War
Chris,2018,Avengers: Infinity War
Mark,2018,Avengers: Infinity War
Chris,2018,Avengers: Infinity War
Tony,2018,Avengers: Infinity War
Steve,2018,Avengers: Infinity War
Bruce,2018,Avengers: Infinity War
Thor,2018,Avengers: Infinity War
Nick,2018,Avengers: Infinity War
Pepper,2018,Avengers: Infinity War
Maria,2018,Avengers: Infinity War
Natalia,2018,Avengers: Infinity War
Natasha,2018,Avengers: Infinity War
Erik,2018,Avengers: Infinity War
Peter,2018,Avengers: Infinity War
Stephen,2018,Avengers: Infinity War
Rocket,2018,Avengers: Infinity War
Thanos,2018,Avengers: Infinity War
Shuri,2018,Avengers: Infinity War
Okoye,2018,Avengers: Infinity War
Gamora,2018,Avengers: Infinity War
Scott,2018,Avengers: Infinity War
Robert,2019,Avengers: Endgame
Chris,2019,Avengers: Endgame
Mark,2019,Avengers: Endgame
Chris,2019,Avengers: Endgame
Tony,2019,Avengers: Endgame
Steve,2019,Avengers: Endgame
Bruce,2019,Avengers: Endgame
Thor,2019,Avengers: Endgame
Clint,2019,Avengers: Endgame
Nick,2019,Avengers: Endgame
Pepper,2019,Avengers: Endgame
Maria,2019,Avengers: Endgame
Natalia,2019,Avengers: Endgame
Natasha,2019,Avengers: Endgame
Erik,2019,Avengers: Endgame
Peter,2019,Avengers: Endgame
Stephen,2019,Avengers: Endgame
Rocket,2019,Avengers: Endgame
Thanos,2019,Avengers: Endgame
Shuri,2019,Avengers: Endgame
Okoye,2019,Avengers: Endgame
Gamora,2019,Avengers: Endgame
Rene,1989,The Little Mermaid
Christopher,1989,The Little Mermaid
Jodi,1989,The Little Mermaid
Pat,1989,The Little Mermaid
Ariel,1989,The Little Mermaid
Sebastian,1989,The Little Mermaid
Triton,1989,The Little Mermaid
Eric,1989,The Little Mermaid
Chadwick,2018,Black Panther
Michael,2018,Black Panther
Lupita,2018,Black Panther
Danai,2018,Black Panther
"""TChalla""",2018,Black Panther
Erik,2018,Black Panther
Shuri,2018,Black Panther
Okoye,2018,Black Panther
"""WKabi""",2018,Black Panther
Mark,2003,The Italian Job
Charlize,2003,The Italian Job
Donald,2003,The Italian Job
Jason,2003,The Italian Job
Pete,2003,The Italian Job
Rob,2003,The Italian Job
Stella,2003,The Italian Job
John,2003,The Italian Job
Charlie,2003,The Italian Job
Steve,2003,The Italian Job
Mashkov,2003,The Italian Job
Yevhen,2003,The Italian Job
Humphrey,1942,Casablanca
Ingrid,1942,Casablanca
Paul,1942,Casablanca
Claude,1942,Casablanca
Ilsa,1942,Casablanca
Rick,1942,Casablanca
Victor,1942,Casablanca
Heinrich,1942,Casablanca
Ugarte,1942,Casablanca
Louis,1942,Casablanca
Carl,1942,Casablanca
Annina,1942,Casablanca
Billy,1989,When Harry Met Sally
Meg,1989,When Harry Met Sally
Carrie,1989,When Harry Met Sally
Bruno,1989,When Harry Met Sally
Harry,1989,When Harry Met Sally
Sally,1989,When Harry Met Sally
Audrey,1961,Breakfast at Tiffany's
George,1961,Breakfast at Tiffany's
Patricia,1961,Breakfast at Tiffany's
Buddy,1961,Breakfast at Tiffany's
Tiffany,1961,Breakfast at Tiffany's
Holly,1961,Breakfast at Tiffany's
Paul,1961,Breakfast at Tiffany's
Rusty,1961,Breakfast at Tiffany's
Sally,1961,Breakfast at Tiffany's
Reese,2001,Legally Blonde
Luke,2001,Legally Blonde
Selma,2001,Legally Blonde
Matthew,2001,Legally Blonde
Elle,2001,Legally Blonde
Chutney,2001,Legally Blonde
Warner,2001,Legally Blonde
Paulette,2001,Legally Blonde
Vivian,2001,Legally Blonde
Emmett,2001,Legally Blonde
Serena,2001,Legally Blonde
Judy,1939,The Wizard of Oz
Frank,1939,The Wizard of Oz
Ray,1939,The Wizard of Oz
Bert,1939,The Wizard of Oz
Dorothy,1939,The Wizard of Oz
Glinda,1939,The Wizard of Oz
