Title,Artist,First Name,Date
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Lil,6/29/2019
7 Rings,Ariana Grande,Ariana,3/30/2019
Sucker,Jonas Brothers,Jonas,3/9/2019
Shallow,Lady Gaga & Bradley Cooper,Lady,3/2/2019
Without Me,Halsey,Halsey,1/19/2019
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Post,1/12/2019
"Thank U, Next",Ariana Grande,Ariana,12/29/2018
Sicko Mode,Travis Scott,Travis,12/1/2018
Girls Like You,Maroon 5 Featuring Cardi B,Maroon,11/3/2018
In My Feelings,Drake,Drake,9/15/2018
Nice For What,Drake,Drake,7/7/2018
I Like It,"Cardi B, Bad Bunny & J Balvin",Cardi,6/30/2018
Sad!,XXXTENTACION,XXXTENTACION,6/23/2018
Psycho,Post Malone Featuring Ty Dolla $ign,Post,6/9/2018
This Is America,Childish Gambino,Childish,5/19/2018
God's Plan,Drake,Drake,4/7/2018
Havana,Camila Cabello Featuring Young Thug,Camila,1/20/2018
Perfect,Ed Sheeran,Ed,1/13/2018
Rockstar,Post Malone Featuring 21 Savage,Post,12/9/2017
Bodak Yellow (Money Moves),Cardi B,Cardi,10/14/2017
Look What You Made Me Do,Taylor Swift,Taylor,9/23/2017
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Luis,9/2/2017
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",DJ,5/13/2017
That's What I Like,Bruno Mars,Bruno,5/6/2017
Humble.,Kendrick Lamar,Kendrick,4/29/2017
Shape Of You,Ed Sheeran,Ed,4/22/2017
Bad And Boujee,Migos Featuring Lil Uzi Vert,Migos,2/4/2017
Black Beatles,Rae Sremmurd Featuring Gucci Mane,Rae,1/7/2017
Starboy,The Weeknd Featuring Daft Punk,The,12/31/2016
Closer,The Chainsmokers Featuring Halsey,The,11/12/2016
Cheap Thrills,Sia Featuring Sean Paul,Sia,8/20/2016
One Dance,Drake Featuring WizKid & Kyla,Drake,7/23/2016
Can't Stop The Feeling!,Justin Timberlake,Justin,5/21/2016
Panda,Desiigner,Desiigner,5/7/2016
Work,Rihanna Featuring Drake,Rihanna,4/23/2016
Love Yourself,Justin Bieber,Justin,2/20/2016
Pillowtalk,Zayn,Zayn,2/13/2016
Sorry,Justin Bieber,Justin,1/30/2016
Hello,Adele,Adele,1/9/2016
The Hills,The Weeknd,The,10/31/2015
Can't Feel My Face,The Weeknd,The,9/19/2015
What Do You Mean?,Justin Bieber,Justin,9/12/2015
Cheerleader,OMI,OMI,8/29/2015
See You Again,Wiz Khalifa Featuring Charlie Puth,Wiz,7/11/2015
Bad Blood,Taylor Swift Featuring Kendrick Lamar,Taylor,5/30/2015
Uptown Funk!,Mark Ronson Featuring Bruno Mars,Mark,4/11/2015
Blank Space,Taylor Swift,Taylor,1/3/2015
Shake It Off,Taylor Swift,Taylor,11/15/2014
All About That Bass,Meghan Trainor,Meghan,11/1/2014
Rude,MAGIC!,MAGIC!,8/23/2014
Fancy,Iggy Azalea Featuring Charli XCX,Iggy,7/12/2014
All Of Me,John Legend,John,5/24/2014
Happy,Pharrell Williams,Pharrell,5/3/2014
Dark Horse,Katy Perry Featuring Juicy J,Katy,2/22/2014
Timber,Pitbull Featuring Ke$ha,Pitbull,1/25/2014
The Monster,Eminem Featuring Rihanna,Eminem,1/4/2014
Wrecking Ball,Miley Cyrus,Miley,12/7/2013
Royals,Lorde,Lorde,11/30/2013
Roar,Katy Perry,Katy,9/14/2013
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Robin,8/31/2013
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,Macklemore,6/8/2013
Just Give Me A Reason,P!nk Featuring Nate Ruess,P!nk,5/4/2013
When I Was Your Man,Bruno Mars,Bruno,4/13/2013
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,Macklemore,4/6/2013
Harlem Shake,Baauer,Baauer,3/23/2013
Locked Out Of Heaven,Bruno Mars,Bruno,1/19/2013
Diamonds,Rihanna,Rihanna,12/8/2012
One More Night,Maroon 5,Maroon,11/17/2012
We Are Never Ever Getting Back Together,Taylor Swift,Taylor,9/15/2012
Whistle,Flo Rida,Flo,9/8/2012
Call Me Maybe,Carly Rae Jepsen,Carly,8/11/2012
Somebody That I Used To Know,Gotye Featuring Kimbra,Gotye,6/9/2012
We Are Young,fun. Featuring Janelle Monae,fun.,4/14/2012
Stronger (What Doesn't Kill You),Kelly Clarkson,Kelly,3/3/2012
Part Of Me,Katy Perry,Katy,2/25/2012
Set Fire To The Rain,Adele,Adele,2/4/2012
We Found Love,Rihanna Featuring Calvin Harris,Rihanna,1/21/2012
Sexy And I Know It,LMFAO,LMFAO,1/7/2012
Someone Like You,Adele,Adele,10/29/2011
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,Maroon,10/1/2011
Last Friday Night (T.G.I.F.),Katy Perry,Katy,8/27/2011
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,LMFAO,8/13/2011
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",Pitbull,7/2/2011
Rolling In The Deep,Adele,Adele,6/25/2011
E.T.,Katy Perry Featuring Kanye West,Katy,5/7/2011
S&M,Rihanna Featuring Britney Spears,Rihanna,4/23/2011
Born This Way,Lady Gaga,Lady,3/26/2011
Black And Yellow,Wiz Khalifa,Wiz,2/12/2011
Grenade,Bruno Mars,Bruno,2/5/2011
Hold It Against Me,Britney Spears,Britney,1/22/2011
Firework,Katy Perry,Katy,1/8/2011
Raise Your Glass,P!nk,P!nk,12/4/2010
Only Girl (In The World),Rihanna,Rihanna,11/27/2010
Like A G6,Far*East Movement Featuring Cataracs & Dev,Far*East,11/20/2010
What's My Name?,Rihanna Featuring Drake,Rihanna,11/13/2010
We R Who We R,Ke$ha,Ke$ha,11/6/2010
Just The Way You Are,Bruno Mars,Bruno,10/16/2010
Teenage Dream,Katy Perry,Katy,9/18/2010
Love The Way You Lie,Eminem Featuring Rihanna,Eminem,9/4/2010
California Gurls,Katy Perry Featuring Snoop Dogg,Katy,7/17/2010
OMG,Usher Featuring will.i.am,Usher,6/5/2010
Not Afraid,Eminem,Eminem,5/15/2010
Nothin' On You,B.o.B Featuring Bruno Mars,B.o.B,5/1/2010
Rude Boy,Rihanna,Rihanna,4/17/2010
Break Your Heart,Taio Cruz Featuring Ludacris,Taio,3/13/2010
Imma Be,The Black Eyed Peas,The,3/6/2010
TiK ToK,Ke$ha,Ke$ha,2/20/2010
Empire State Of Mind,Jay-Z + Alicia Keys,Jay-Z,12/19/2009
Fireflies,Owl City,Owl,11/14/2009
Whatcha Say,Jason Derulo,Jason,11/7/2009
Down,Jay Sean Featuring Lil Wayne,Jay,10/24/2009
3,Britney Spears,Britney,10/17/2009
I Gotta Feeling,The Black Eyed Peas,The,10/3/2009
Boom Boom Pow,The Black Eyed Peas,The,6/27/2009
Poker Face,Lady Gaga,Lady,4/4/2009
Right Round,Flo Rida,Flo,3/28/2009
Crack A Bottle,"Eminem, Dr. Dre & 50 Cent","Eminem,",2/14/2009
My Life Would Suck Without You,Kelly Clarkson,Kelly,2/7/2009
Just Dance,Lady Gaga Featuring Colby O'Donis,Lady,1/24/2009
Single Ladies (Put A Ring On It),Beyonce,Beyonce,1/3/2009
Live Your Life,T.I. Featuring Rihanna,T.I.,12/13/2008
Whatever You Like,T.I.,T.I.,11/1/2008
Womanizer,Britney Spears,Britney,10/18/2008
So What,P!nk,P!nk,9/20/2008
Disturbia,Rihanna,Rihanna,8/23/2008
I Kissed A Girl,Katy Perry,Katy,8/9/2008
Viva La Vida,Coldplay,Coldplay,6/21/2008
Lollipop,Lil Wayne Featuring Static Major,Lil,6/14/2008
Take A Bow,Rihanna,Rihanna,5/17/2008
Bleeding Love,Leona Lewis,Leona,5/10/2008
Touch My Body,Mariah Carey,Mariah,4/12/2008
Love In This Club,Usher Featuring Young Jeezy,Usher,3/22/2008
Low,Flo Rida Featuring T-Pain,Flo,3/1/2008
No One,Alicia Keys,Alicia,12/22/2007
Kiss Kiss,Chris Brown Featuring T-Pain,Chris,11/17/2007
Crank That (Soulja Boy),Soulja Boy Tell'em,Soulja,10/27/2007
Stronger,Kanye West,Kanye,9/22/2007
Big Girls Don't Cry,Fergie,Fergie,9/1/2007
Beautiful Girls,Sean Kingston,Sean,8/25/2007
Hey There Delilah,Plain White T's,Plain,7/28/2007
Umbrella,Rihanna Featuring Jay-Z,Rihanna,7/14/2007
Makes Me Wonder,Maroon 5,Maroon,5/26/2007
Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,T-Pain,5/19/2007
Girlfriend,Avril Lavigne,Avril,4/28/2007
Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,Timbaland,4/21/2007
Don't Matter,Akon,Akon,4/7/2007
Glamorous,Fergie Featuring Ludacris,Fergie,3/24/2007
This Is Why I'm Hot,Mims,Mims,3/10/2007
What Goes Around...Comes Around,Justin Timberlake,Justin,2/24/2007
Say It Right,Nelly Furtado,Nelly,2/17/2007
Irreplaceable,Beyonce,Beyonce,2/10/2007
I Wanna Love You,Akon Featuring Snoop Dogg,Akon,12/2/2006
My Love,Justin Timberlake Featuring T.I.,Justin,11/18/2006
Money Maker,Ludacris Featuring Pharrell,Ludacris,10/28/2006
SexyBack,Justin Timberlake,Justin,10/14/2006
London Bridge,Fergie,Fergie,8/26/2006
Promiscuous,Nelly Furtado Featuring Timbaland,Nelly,8/5/2006
Do I Make You Proud,Taylor Hicks,Taylor,6/24/2006
Hips Don't Lie,Shakira Featuring Wyclef Jean,Shakira,6/17/2006
Ridin',Chamillionaire Featuring Krayzie Bone,Chamillionaire,6/3/2006
SOS,Rihanna,Rihanna,5/20/2006
Bad Day,Daniel Powter,Daniel,4/29/2006
Temperature,Sean Paul,Sean,3/25/2006
So Sick,Ne-Yo,Ne-Yo,3/18/2006
You're Beautiful,James Blunt,James,3/4/2006
Check On It,Beyonce Featuring Slim Thug,Beyonce,2/25/2006
Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",Nelly,1/21/2006
Laffy Taffy,D4L,D4L,1/7/2006
Don't Forget About Us,Mariah Carey,Mariah,12/31/2005
Run It!,Chris Brown,Chris,12/17/2005
Gold Digger,Kanye West Featuring Jamie Foxx,Kanye,11/12/2005
We Belong Together,Mariah Carey,Mariah,9/3/2005
Inside Your Heaven,Carrie Underwood,Carrie,6/25/2005
Hollaback Girl,Gwen Stefani,Gwen,5/21/2005
Candy Shop,50 Cent Featuring Olivia,50,4/23/2005
Let Me Love You,Mario,Mario,2/19/2005
Drop It Like It's Hot,Snoop Dogg Featuring Pharrell,Snoop,12/18/2004
My Boo,Usher And Alicia Keys,Usher,11/27/2004
Goodies,Ciara Featuring Petey Pablo,Ciara,10/16/2004
Lean Back,Terror Squad,Terror,8/28/2004
Slow Motion,Juvenile Featuring Soulja Slim,Juvenile,8/7/2004
Confessions Part II,Usher,Usher,7/24/2004
Burn,Usher,Usher,7/10/2004
I Believe,Fantasia,Fantasia,7/3/2004
Yeah!,Usher Featuring Lil Jon & Ludacris,Usher,5/8/2004
Slow Jamz,Twista Featuring Kanye West & Jamie Foxx,Twista,2/14/2004
The Way You Move,OutKast Featuring Sleepy Brown,OutKast,2/7/2004
Hey Ya!,OutKast,OutKast,1/31/2004
Stand Up,Ludacris Featuring Shawnna,Ludacris,11/29/2003
Baby Boy,Beyonce Featuring Sean Paul,Beyonce,11/22/2003
Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee","Nelly,",9/20/2003
Crazy In Love,Beyonce Featuring Jay Z,Beyonce,8/23/2003
This Is The Night,Clay Aiken,Clay,6/28/2003
21 Questions,50 Cent Featuring Nate Dogg,50,6/14/2003
Get Busy,Sean Paul,Sean,5/17/2003
In Da Club,50 Cent,50,4/26/2003
All I Have,Jennifer Lopez Featuring LL Cool J,Jennifer,2/22/2003
"Bump, Bump, Bump",B2K & P. Diddy,B2K,1/25/2003
Lose Yourself,Eminem,Eminem,1/18/2003
Dilemma,Nelly Featuring Kelly Rowland,Nelly,10/26/2002
A Moment Like This,Kelly Clarkson,Kelly,10/5/2002
Hot In Herre,Nelly,Nelly,8/3/2002
Foolish,Ashanti,Ashanti,6/15/2002
Ain't It Funny,Jennifer Lopez Featuring Ja Rule,Jennifer,4/6/2002
Always On Time,Ja Rule Featuring Ashanti,Ja,2/23/2002
U Got It Bad,Usher,Usher,2/9/2002
How You Remind Me,Nickelback,Nickelback,1/5/2002
Family Affair,Mary J. Blige,Mary,12/1/2001
I'm Real,Jennifer Lopez Featuring Ja Rule,Jennifer,10/20/2001
Fallin',Alicia Keys,Alicia,10/6/2001
Bootylicious,Destiny's Child,Destiny's,8/4/2001
U Remind Me,Usher,Usher,7/21/2001
Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk",Christina,6/23/2001
All For You,Janet,Janet,5/19/2001
Butterfly,Crazy Town,Crazy,3/31/2001
Angel,Shaggy Featuring Rayvon,Shaggy,3/24/2001
Stutter,Joe Featuring Mystikal,Joe,3/10/2001
Ms. Jackson,OutKast,OutKast,2/10/2001
It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent",Shaggy,2/3/2001
Independent Women Part I,Destiny's Child,Destiny's,1/20/2001
With Arms Wide Open,Creed,Creed,11/4/2000
Come On Over Baby (All I Want Is You),Christina Aguilera,Christina,10/28/2000
Music,Madonna,Madonna,9/30/2000
Doesn't Really Matter,Janet,Janet,9/2/2000
Incomplete,Sisqo,Sisqo,8/12/2000
It's Gonna Be Me,'N Sync,'N,7/29/2000
Bent,matchbox twenty,matchbox,7/15/2000
Everything You Want,Vertical Horizon,Vertical,7/8/2000
Be With You,Enrique Iglesias,Enrique,7/1/2000
Try Again,Aaliyah,Aaliyah,6/10/2000
Maria Maria,Santana Featuring The Product G&B,Santana,6/3/2000
Say My Name,Destiny's Child,Destiny's,3/25/2000
Amazed,Lonestar,Lonestar,3/4/2000
I Knew I Loved You,Savage Garden,Savage,2/19/2000
Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,Mariah,2/12/2000
What A Girl Wants,Christina Aguilera,Christina,1/15/2000
Smooth,Santana Featuring Rob Thomas,Santana,1/1/2000
Heartbreaker,Mariah Carey Featuring Jay-Z,Mariah,10/9/1999
Unpretty,TLC,TLC,9/25/1999
Bailamos,Enrique Iglesias,Enrique,9/4/1999
Genie In A Bottle,Christina Aguilera,Christina,8/21/1999
Wild Wild West,Will Smith Featuring Dru Hill & Kool Mo Dee,Will,7/17/1999
"Bills, Bills, Bills",Destiny's Child,Destiny's,7/10/1999
If You Had My Love,Jennifer Lopez,Jennifer,7/3/1999
Livin' La Vida Loca,Ricky Martin,Ricky,5/29/1999
No Scrubs,TLC,TLC,4/24/1999
Believe,Cher,Cher,3/27/1999
Angel Of Mine,Monica,Monica,2/27/1999
...Baby One More Time,Britney Spears,Britney,1/30/1999
Have You Ever?,Brandy,Brandy,1/16/1999
I'm Your Angel,R. Kelly & Celine Dion,R.,1/2/1999
Lately,Divine,Divine,11/21/1998
Doo Wop (That Thing),Lauryn Hill,Lauryn,11/14/1998
The First Night,Monica,Monica,10/31/1998
One Week,Barenaked Ladies,Barenaked,10/10/1998
I Don't Want To Miss A Thing,Aerosmith,Steven,9/19/1998
The Boy Is Mine,Brandy & Monica,Brandy,8/22/1998
Too Close,Next,Next,5/23/1998
My All,Mariah Carey,Mariah,5/16/1998
All My Life,K-Ci & JoJo,K-Ci,4/11/1998
Gettin' Jiggy Wit It,Will Smith,Will,3/21/1998
My Heart Will Go On,Celine Dion,Celine,2/28/1998
Nice & Slow,Usher,Usher,2/14/1998
Together Again,Janet,Janet,1/31/1998
Truly Madly Deeply,Savage Garden,Savage,1/17/1998
Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,Elton,1/3/1998
4 Seasons Of Loneliness,Boyz II Men,Boyz,9/27/1997
Honey,Mariah Carey,Mariah,9/20/1997
Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,The,8/30/1997
I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,Puff,8/16/1997
MMMBop,Hanson,Hanson,5/31/1997
Hypnotize,The Notorious B.I.G.,The,5/10/1997
Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase),Puff,4/19/1997
Wannabe,Spice Girls,Spice,3/8/1997
Un-Break My Heart,Toni Braxton,Toni,2/8/1997
No Diggity,BLACKstreet (Featuring Dr. Dre),BLACKstreet,11/23/1996
Macarena (Bayside Boys Mix),Los Del Rio,Los,10/26/1996
You're Makin' Me High/Let It Flow,Toni Braxton,Toni,7/20/1996
How Do U Want It/California Love,2Pac Featuring K-Ci And JoJo,2Pac,7/13/1996
Tha Crossroads,Bone Thugs-N-Harmony,Bone,6/29/1996
Always Be My Baby,Mariah Carey,Mariah,5/4/1996
"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,Celine,4/20/1996
One Sweet Day,Mariah Carey & Boyz II Men,Mariah,3/9/1996
"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston,Whitney,11/18/1995
Fantasy,Mariah Carey,Mariah,11/11/1995
"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,Coolio,9/16/1995
You Are Not Alone,Michael Jackson,Michael,8/26/1995
Kiss From A Rose,Seal,Seal,8/19/1995
Waterfalls,TLC,TLC,8/12/1995
Have You Ever Really Loved A Woman?,Bryan Adams,Bryan,6/24/1995
This Is How We Do It,Montell Jordan,Montell,5/20/1995
Creep,TLC,TLC,2/11/1995
On Bended Knee,Boyz II Men,Boyz,1/14/1995
"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,Ini,12/17/1994
I'll Make Love To You,Boyz II Men,Boyz,11/19/1994
"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb & Nine Stories,Lisa,8/13/1994
I Swear,All-4-One,All-4-One,7/23/1994
The Sign,Ace Of Base,Ace,5/7/1994
Bump N' Grind,R. Kelly,R.,4/23/1994
The Power Of Love,Celine Dion,Celine,2/26/1994
All For Love,Bryan Adams/Rod Stewart/Sting,Bryan,1/29/1994
Hero,Mariah Carey,Mariah,1/8/1994
Again,Janet Jackson,Janet,12/11/1993
I'd Do Anything For Love (But I Won't Do That),Meat Loaf,Meat,11/27/1993
Dreamlover,Mariah Carey,Mariah,10/23/1993
"Can't Help Falling In Love (From ""Sliver"")",UB40,UB40,8/28/1993
Weak,SWV,SWV,7/10/1993
That's The Way Love Goes,Janet Jackson,Janet,6/26/1993
Freak Me,Silk,Silk,5/1/1993
Informer,Snow,Snow,4/17/1993
A Whole New World (Aladdin's Theme),Peabo Bryson & Regina Belle,Peabo,2/27/1993
I Will Always Love You,Whitney Houston,Whitney,2/20/1993
How Do You Talk To An Angel,The Heights,The,11/14/1992
"End Of The Road (From ""Boomerang"")",Boyz II Men,Boyz,10/31/1992
This Used To Be My Playground,Madonna,Madonna,8/1/1992
Baby Got Back,Sir Mix-A-Lot,Sir,7/25/1992
I'll Be There,Mariah Carey,Mariah,6/20/1992
Jump,Kris Kross,Kris,6/6/1992
Save The Best For Last,Vanessa Williams,Vanessa,4/11/1992
To Be With You,Mr. Big,Mr.,3/7/1992
I'm Too Sexy,Right Said Fred,Right,2/15/1992
Don't Let The Sun Go Down On Me,George Michael/Elton John,George,1/25/1992
All 4 Love,Color Me Badd,Color,1/18/1992
Black Or White,Michael Jackson,Michael,1/11/1992
Set Adrift On Memory Bliss,P.M. Dawn,P.M.,11/23/1991
When A Man Loves A Woman,Michael Bolton,Michael,11/16/1991
Cream,Prince And The N.P.G.,Prince,11/9/1991
Romantic,Karyn White,Karyn,10/26/1991
Emotions,Mariah Carey,Mariah,10/19/1991
Good Vibrations,Marky Mark & The Funky Bunch Featuring Loleatta Holloway,Marky,9/28/1991
I Adore Mi Amor,Color Me Badd,Color,9/21/1991
The Promise Of A New Day,Paula Abdul,Paula,9/7/1991
(Everything I Do) I Do It For You,Bryan Adams,Bryan,8/31/1991
Unbelievable,EMF,EMF,7/13/1991
Rush Rush,Paula Abdul,Paula,7/6/1991
More Than Words,Extreme,Extreme,6/1/1991
I Don't Wanna Cry,Mariah Carey,Mariah,5/25/1991
I Like The Way (The Kissing Game),Hi-Five,Hi-Five,5/11/1991
Joyride,Roxette,Roxette,5/4/1991
Baby Baby,Amy Grant,Amy,4/27/1991
You're In Love,Wilson Phillips,Wilson,4/13/1991
I've Been Thinking About You,Londonbeat,Londonbeat,4/6/1991
Coming Out Of The Dark,Gloria Estefan,Gloria,3/30/1991
One More Try,Timmy T.,Timmy,3/16/1991
Someday,Mariah Carey,Mariah,3/9/1991
All The Man That I Need,Whitney Houston,Whitney,2/23/1991
Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,C+C,2/9/1991
The First Time,Surface,Surface,1/26/1991
Love Will Never Do (Without You),Janet Jackson,Janet,1/12/1991
Justify My Love,Madonna,Madonna,1/5/1991
Because I Love You (The Postman Song),Stevie B,Stevie,12/22/1990
I'm Your Baby Tonight,Whitney Houston,Whitney,11/24/1990
Love Takes Time,Mariah Carey,Mariah,11/17/1990
Ice Ice Baby,Vanilla Ice,Vanilla,10/27/1990
Black Cat,Janet Jackson,Janet,10/20/1990
I Don't Have The Heart,James Ingram,James,10/13/1990
Praying For Time,George Michael,George,10/6/1990
Close To You,Maxi Priest,Maxi,9/29/1990
(Can't Live Without Your) Love And Affection,Nelson,Nelson,9/22/1990
Release Me,Wilson Phillips,Wilson,9/15/1990
"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,Jon,9/1/1990
If Wishes Came True,Sweet Sensation,Sweet,8/25/1990
Vision Of Love,Mariah Carey,Mariah,8/18/1990
She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown,Glenn,7/21/1990
Step By Step,New Kids On The Block,New,7/7/1990
"It Must Have Been Love (From ""Pretty Woman"")",Roxette,Roxette,6/16/1990
Hold On,Wilson Phillips,Wilson,6/2/1990
Vogue,Madonna,Madonna,5/26/1990
Nothing Compares 2 U,Sinead O'Connor,Sinead,5/5/1990
I'll Be Your Everything,Tommy Page,Tommy,4/7/1990
Love Will Lead You Back,Taylor Dayne,Taylor,3/31/1990
Black Velvet,Alannah Myles,Alannah,3/24/1990
Escapade,Janet Jackson,Janet,3/10/1990
Opposites Attract,Paula Abdul (Duet With The Wild Pair),Paula,2/17/1990
How Am I Supposed To Live Without You,Michael Bolton,Michael,1/27/1990
Another Day In Paradise,Phil Collins,Phil,1/6/1990
